"kMEblack"	"kMEbrown"	"kMEmagenta"	"kMEred"	"kMEsalmon"	"kMEtan"	"kMEyellow"
"TRINITY_DN88421_c0_g1_i1"	-0.59349306054634	0.280815234873005	-0.38817920184601	0.450361541062204	-0.173908571092331	-0.370474584080669	0.94243658105928
"TRINITY_DN88418_c0_g1_i5"	-0.57610352640664	0.231810671893859	-0.342409484645615	0.407426585390108	-0.197630142299414	-0.347488153632513	0.948005890944065
"TRINITY_DN88415_c0_g1_i2"	-0.713713582405347	0.478850585289364	-0.164730282938075	0.340358517769489	0.0389167404716048	-0.41487476070688	0.869568254716204
"TRINITY_DN88474_c0_g1_i2"	0.949183067820694	-0.640600222582224	0.168336877504261	-0.443820520509251	-0.221806960108993	0.266541586112441	-0.560630712931014
"TRINITY_DN88425_c0_g1_i2"	-0.822189334593864	0.889466901741855	-0.405517401883131	0.165492083236275	0.0623988576687307	-0.420468902270376	0.755366836222187
"TRINITY_DN88476_c0_g2_i1"	-0.620656979044262	0.889470380213797	-0.219645331846478	0.0614630387652077	0.26783138291712	-0.215212944745137	0.350527484137196
"TRINITY_DN88409_c0_g1_i3"	0.278564931017313	-0.151575864832838	-0.145901244114859	-0.265039530343941	-0.00787942975473219	0.595991308101615	-0.385665131799886
"TRINITY_DN21442_c0_g2_i1"	-0.648200230040312	0.343090331901026	-0.243238261331399	0.442538721569908	-0.0729698661723906	-0.49358105480048	0.93256343110086
"TRINITY_DN21452_c2_g1_i8"	0.710370437233707	-0.426822914850589	0.429312876535783	-0.670064772835469	0.224158312279033	0.326970056732926	-0.540672495133742
"TRINITY_DN21434_c5_g1_i3"	0.891105245086577	-0.508209371537345	0.338688429580491	-0.672130049346205	0.069631340403479	0.271965310091495	-0.675053468792162
"TRINITY_DN21454_c1_g1_i2"	0.718537381978254	-0.482152410394738	0.514570151285797	-0.457686506016247	0.126081759414346	0.372650134209422	-0.394555513190636
"TRINITY_DN21443_c0_g1_i2"	-0.856268105633407	0.716048289247614	-0.409550969036473	0.341655567297324	-0.0506275856139141	-0.405939541070143	0.873499022625077
