target_id	length	eff_length	est_counts	tpm
TRINITY_DN4725_c0_g1_i1	732	606.396	0	0
TRINITY_DN4795_c0_g1_i1	316	194.844	0	0
TRINITY_DN4747_c0_g1_i1	250	134.529	0	0
TRINITY_DN4709_c0_g1_i1	633	507.396	0	0
TRINITY_DN4706_c0_g1_i1	732	606.396	0	0
TRINITY_DN4715_c0_g1_i1	452	327.315	0	0
TRINITY_DN4722_c0_g1_i1	470	345.146	0	0
TRINITY_DN4775_c0_g1_i1	201	94.0244	0	0
TRINITY_DN4791_c0_g1_i1	777	651.396	0	0
TRINITY_DN4746_c0_g1_i1	974	848.396	0	0
TRINITY_DN4703_c0_g1_i1	788	662.396	0	0
TRINITY_DN4760_c0_g1_i1	649	523.396	0	0
TRINITY_DN4749_c0_g1_i1	859	733.396	0	0
TRINITY_DN4773_c0_g1_i1	551	425.723	0	0
TRINITY_DN4718_c0_g1_i1	509	383.884	0	0
TRINITY_DN4751_c0_g1_i1	236	122.219	0	0
TRINITY_DN4726_c0_g1_i1	649	523.396	0	0
TRINITY_DN4727_c0_g1_i1	608	482.447	1	0.141159
TRINITY_DN4724_c0_g1_i1	219	108.24	0	0
TRINITY_DN4778_c1_g1_i1	242	127.411	0	0
TRINITY_DN4766_c0_g1_i1	635	509.396	0	0
TRINITY_DN4776_c0_g1_i1	384	260.695	0	0
TRINITY_DN4764_c0_g1_i1	851	725.396	0	0
TRINITY_DN4762_c0_g1_i1	242	127.411	0	0
TRINITY_DN4721_c0_g1_i1	224	112.259	0	0
TRINITY_DN4758_c0_g1_i1	597	471.542	0	0
TRINITY_DN4785_c0_g1_i1	228	115.595	0	0
TRINITY_DN4796_c0_g1_i1	370	247.052	0	0
TRINITY_DN4781_c0_g1_i1	234	120.53	0	0
TRINITY_DN4788_c0_g1_i1	613	487.447	0	0
TRINITY_DN4759_c0_g1_i1	493	368.146	0	0
TRINITY_DN4743_c0_g1_i1	271	153.253	0	0
TRINITY_DN4789_c0_g1_i1	731	605.396	0	0
TRINITY_DN4707_c0_g1_i1	523	397.805	0	0
TRINITY_DN4748_c0_g1_i1	594	468.542	0	0
TRINITY_DN4761_c0_g1_i1	558	432.68	0	0
TRINITY_DN4794_c0_g1_i1	813	687.396	0	0
TRINITY_DN4799_c0_g1_i1	305	184.346	0	0
TRINITY_DN4772_c0_g1_i1	1349	1223.4	0	0
TRINITY_DN4786_c0_g1_i1	559	433.68	0	0
TRINITY_DN4787_c0_g1_i1	229	116.42	0	0
TRINITY_DN4720_c0_g1_i1	848	722.396	0	0
TRINITY_DN4700_c0_g1_i1	525	399.805	0	0
TRINITY_DN4729_c0_g1_i1	528	402.805	0	0
TRINITY_DN4755_c0_g1_i1	1083	957.396	0	0
TRINITY_DN4780_c0_g1_i1	389	265.377	0	0
TRINITY_DN4734_c0_g1_i1	684	558.396	0	0
TRINITY_DN4765_c0_g1_i1	425	300.814	0	0
TRINITY_DN4714_c0_g1_i1	413	288.933	0	0
TRINITY_DN4768_c0_g1_i1	221	109.812	0	0
