"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q9DCT2","NDUS3_MOUSE","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)","Ndufs3","Mus musculus (Mouse)",263
"A9CB25","S22A4_PAPAN","Solute carrier family 22 member 4 (Organic cation/carnitine transporter 1)","SLC22A4 OCTN1","Papio anubis (Olive baboon)",551
"Q9NBX4","RTXE_DROME","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)","X-element\ORF2 ORF2","Drosophila melanogaster (Fruit fly)",908
"A7SE07","NUBP2_NEMVE","Cytosolic Fe-S cluster assembly factor NUBP2 homolog","v1g229988","Nematostella vectensis (Starlet sea anemone)",270
"O15442","MPPD1_HUMAN","Metallophosphoesterase domain-containing protein 1 (EC 3.1.-.-) (Adult brain protein 239) (239AB)","MPPED1 C22orf1 FAM1A","Homo sapiens (Human)",326
"G5ED00","ZIG8_CAEEL","Zwei Ig domain protein zig-8 (2 Ig domain protein zig-8)","zig-8 Y39E4B.8","Caenorhabditis elegans",268
"Q4QRC6","ISCA1_DANRE","Iron-sulfur cluster assembly 1 homolog, mitochondrial (HESB-like domain-containing protein 2) (Iron-sulfur assembly protein IscA)","isca1 hbld2 zgc:114185","Danio rerio (Zebrafish) (Brachydanio rerio)",129
"P60174","TPIS_HUMAN","Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)","TPI1 TPI","Homo sapiens (Human)",249
"Q588U8","CFDP2_TRAJA","Craniofacial development protein 2 (p97 bucentaur protein)","CFDP2 BCNT","Tragulus javanicus (Lesser Malay chevrotain) (Lesser mouse deer)",574
"Q8K296","MTMR3_MOUSE","Myotubularin-related protein 3 (EC 3.1.3.48) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)","Mtmr3","Mus musculus (Mouse)",1196
"Q498J9","MBLC1_XENLA","Metallo-beta-lactamase domain-containing protein 1 (EC 3.-.-.-)","mblac1","Xenopus laevis (African clawed frog)",233
"Q9BY79","MFRP_HUMAN","Membrane frizzled-related protein (Membrane-type frizzled-related protein)","MFRP","Homo sapiens (Human)",579
"Q9Y2I7","FYV1_HUMAN","1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Serine-protein kinase PIKFYVE) (EC 2.7.11.1)","PIKFYVE KIAA0981 PIP5K3","Homo sapiens (Human)",2098
"Q9NU19","TB22B_HUMAN","TBC1 domain family member 22B","TBC1D22B C6orf197","Homo sapiens (Human)",505
"O16810","ORC1_DROME","Origin recognition complex subunit 1 (DmORC1)","Orc1 CG10667","Drosophila melanogaster (Fruit fly)",924
"O17502","ACTM_BRALA","Actin, muscle","","Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)",380
"Q2KHZ9","GCDH_BOVIN","Glutaryl-CoA dehydrogenase, mitochondrial (GCD) (EC 1.3.8.6)","GCDH","Bos taurus (Bovine)",438
"Q5YLM1","DGLA_RAT","Diacylglycerol lipase-alpha (EC 3.1.1.-) (Neural stem cell-derived dendrite regulator) (Sn1-specific diacylglycerol lipase alpha) (DGL-alpha)","Dagla Nsddr","Rattus norvegicus (Rat)",1044
"O08912","GALT1_MOUSE","Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form]","Galnt1","Mus musculus (Mouse)",559
"A3KN83","SBNO1_HUMAN","Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)","SBNO1 MOP3","Homo sapiens (Human)",1393
"Q6A4L1","S12A8_XENLA","Solute carrier family 12 member 8","slc12a8","Xenopus laevis (African clawed frog)",721
"P10605","CATB_MOUSE","Cathepsin B (EC 3.4.22.1) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]","Ctsb","Mus musculus (Mouse)",339
"P33194","DDB1_CHLAE","DNA damage-binding protein 1 (DDB p127 subunit) (DDBa) (Damage-specific DNA-binding protein 1) (UV-damaged DNA-binding protein 1) (UV-DDB 1)","DDB1","Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)",1140
"Q6UW63","PLGT2_HUMAN","Protein O-glucosyltransferase 2 (EC 2.4.1.-) (Endoplasmic reticulum resident protein 58) (ER protein 58) (ERp58) (KDEL motif-containing protein 1) (Protein O-xylosyltransferase POGLUT2) (EC 2.4.2.-)","POGLUT2 EP58 KDELC1 UNQ1910/PRO4357","Homo sapiens (Human)",502
"Q3TCH7","CUL4A_MOUSE","Cullin-4A (CUL-4A)","Cul4a","Mus musculus (Mouse)",759
"P08736","EF1A1_DROME","Elongation factor 1-alpha 1 (EF-1-alpha-1) (50 kDa female-specific protein)","eEF1alpha1 Ef1alpha48D EF1B F1 CG8280","Drosophila melanogaster (Fruit fly)",463
"P34313","BUD31_CAEEL","Protein BUD31 homolog (Protein G10 homolog)","bud-31 C07A9.2","Caenorhabditis elegans",147
