"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q05746","HSP70_PLACB","Heat shock 70 kDa protein (HSP70) (74.6 kDa protein) (Cytoplasmic antigen)","","Plasmodium cynomolgi (strain Berok)",686
"Q9LZQ9","DEAH2_ARATH","Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP43)","At3g62310 T12C14_10","Arabidopsis thaliana (Mouse-ear cress)",726
"Q0WQQ1","AGD15_ARATH","Probable ADP-ribosylation factor GTPase-activating protein AGD15 (ARF GAP AGD15) (Protein ARF-GAP DOMAIN 15) (AtAGD15)","AGD15 At3g17660 MKP6.22","Arabidopsis thaliana (Mouse-ear cress)",232
"Q54BM8","U652_DICDI","UPF0652 protein","DDB_G0293552","Dictyostelium discoideum (Slime mold)",677
"Q10NQ9","IF4E3_ORYSJ","Eukaryotic translation initiation factor NCBP (Novel cap-binding protein) (nCBP) (mRNA cap-binding protein)","NCBP Os03g0262400 LOC_Os03g15590 OsJ_10222","Oryza sativa subsp. japonica (Rice)",227
"P0CS08","TRM61_CRYNJ","tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61 (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase subunit TRM61) (tRNA(m1A58)MTase subunit TRM61)","TRM61 CNH01430","Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)",433
"Q6ZRS2","SRCAP_HUMAN","Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator)","SRCAP KIAA0309","Homo sapiens (Human)",3230
"Q9SHL7","RP44A_ARATH","Exosome complex exonuclease RRP44 homolog A (RRP44 homolog A) (EC 3.1.13.-) (EC 3.1.26.-) (Protein EMBRYO DEFECTIVE 2763) (Ribosomal RNA-processing protein 44A) (AtRRP44A)","RRP44A EMB2763 At2g17510","Arabidopsis thaliana (Mouse-ear cress)",933
"Q7MNR0","UNG_VIBVY","Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)","ung VV0655","Vibrio vulnificus (strain YJ016)",226
"A1C5V3","DBP3_ASPCL","ATP-dependent RNA helicase dbp3 (EC 3.6.4.13)","dbp3 ACLA_068010","Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1)",503
"P35684","RL3_ORYSJ","60S ribosomal protein L3","RPL3 Os12g0167900 LOC_Os12g07010","Oryza sativa subsp. japonica (Rice)",389
"Q0DJA0","COPD1_ORYSJ","Coatomer subunit delta-1 (Delta-coat protein 1) (Delta-COP 1)","Os05g0310800 LOC_Os05g24594","Oryza sativa subsp. japonica (Rice)",524
"P28734","AATC_DAUCA","Aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Transaminase A)","","Daucus carota (Wild carrot)",405
"Q09305","AAR2_CAEEL","Protein AAR2 homolog (AAR2 splicing factor homolog)","F10B5.2","Caenorhabditis elegans",357
"Q54SN4","RPAC1_DICDI","DNA-directed RNA polymerases I and III subunit rpac1 (RNA polymerases I and III subunit AC1)","polr1c rpa5 DDB_G0282339","Dictyostelium discoideum (Slime mold)",345
"Q7PWB1","RETM_ANOGA","Protein real-time","retm AGAP009029","Anopheles gambiae (African malaria mosquito)",684
"P80387","AAKB1_PIG","5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb) (5'-AMP-activated protein kinase 40 kDa subunit) (Fragment)","PRKAB1","Sus scrofa (Pig)",122
"Q8IVF4","DYH10_HUMAN","Dynein heavy chain 10, axonemal (Axonemal beta dynein heavy chain 10) (Ciliary dynein heavy chain 10)","DNAH10 KIAA2017","Homo sapiens (Human)",4471
"Q3MHL7","TCPZ_BOVIN","T-complex protein 1 subunit zeta (TCP-1-zeta) (CCT-zeta) (CCT-zeta-1)","CCT6A","Bos taurus (Bovine)",531
"P42325","NCAH_DROME","Neurocalcin homolog (DrosNCa)","Nca CG7641","Drosophila melanogaster (Fruit fly)",190
"Q64395","PDE1B_CRIGR","Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (Cam-PDE 1B) (EC 3.1.4.17) (Fragment)","PDE1B1","Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)",199
"Q9T042","PDI54_ARATH","Protein disulfide-isomerase 5-4 (AtPDIL5-4) (Protein disulfide-isomerase 7) (PDI7) (Protein disulfide-isomerase 8-2) (AtPDIL8-2)","PDIL5-4 PDI7 PDIL8-2 At4g27080 T24A18.30","Arabidopsis thaliana (Mouse-ear cress)",480
"P26182","ACT_ACHBI","Actin","","Achlya bisexualis (Water mold)",376
"P90519","EF1A_CRYPV","Elongation factor 1-alpha (EF-1-alpha)","","Cryptosporidium parvum",435
"Q84ME1","LUL3_ARATH","Probable E3 ubiquitin-protein ligase LUL3 (EC 2.3.2.27) (Probable RING-type E3 ubiquitin transferase LUL3) (Protein LOG2-LIKE UBIQUITIN LIGASE 3) (RING finger protein 398)","LUL3 RF398 At5g19080 T16G12.120","Arabidopsis thaliana (Mouse-ear cress)",378
"O43930","PRKY_HUMAN","Putative serine/threonine-protein kinase PRKY (EC 2.7.11.1)","PRKY","Homo sapiens (Human)",277
"Q54N38","UCHL5_DICDI","Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin thioesterase L5)","uch2 uchl5 DDB_G0285527","Dictyostelium discoideum (Slime mold)",343
"Q10N20","MPK5_ORYSJ","Mitogen-activated protein kinase 5 (MAP kinase 5) (EC 2.7.11.24) (Benzothiadiazole-induced MAP kinase 1) (MAP kinase 2) (Multiple stress-responsive MAP kinase 2) (OsBIMK1) (OsMAP1) (OsMAPK2) (OsMAPK5) (OsMPK3) (OsMSRMK2)","MPK5 BIMK1 MAPK2 MAPK5 MPK3 MSRMK2 Os03g0285800 LOC_Os03g17700 OsJ_10412 OSJNBa0013D02.9","Oryza sativa subsp. japonica (Rice)",369
"O76083","PDE9A_HUMAN","High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A (EC 3.1.4.35)","PDE9A","Homo sapiens (Human)",593
"Q9LWN0","GSK1_ORYSJ","Shaggy-related protein kinase GSK1 (EC 2.7.11.1) (Glycogen synthase kinase3-like protein 1) (OsGSK1) (Shaggy/GSK3-like kinase 21) (OsSK21)","GSK1 SK21 Os01g0205700 LOC_Os01g10840 P0451C06.26","Oryza sativa subsp. japonica (Rice)",407
"Q9UIL1","SCOC_HUMAN","Short coiled-coil protein","SCOC SCOCO HRIHFB2072","Homo sapiens (Human)",159
"Q8BJL0","SMAL1_MOUSE","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 (EC 3.6.4.-) (HepA-related protein) (mharp) (Sucrose nonfermenting protein 2-like 1)","Smarcal1 Harp","Mus musculus (Mouse)",910
"O04376","2A5B_ARATH","Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform (AtB' beta) (PP2A, B' subunit, beta isoform)","B'BETA At3g09880 F8A24.7","Arabidopsis thaliana (Mouse-ear cress)",499
"Q23917","PDE2_DICDI","3',5'-cyclic-nucleotide phosphodiesterase regA (PDEase regA) (EC 3.1.4.53) (Phosphodiesterase 2) (DdPDE2) (Response regulator protein A) (cAMP-specific 3',5'-cAMP phosphodiesterase 2)","regA pde2 DDB_G0284331","Dictyostelium discoideum (Slime mold)",793
"O35231","KIFC3_MOUSE","Kinesin-like protein KIFC3","Kifc3","Mus musculus (Mouse)",824
"P46782","RS5_HUMAN","40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]","RPS5","Homo sapiens (Human)",204
"Q6P6R2","DLDH_RAT","Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)","Dld","Rattus norvegicus (Rat)",509
"B7F845","R10A_ORYSJ","60S ribosomal protein L10a","RPL10A Os08g0558800 LOC_Os08g44450 OsJ_28271","Oryza sativa subsp. japonica (Rice)",216
"Q653S3","P2C70_ORYSJ","Probable protein phosphatase 2C 70 (OsPP2C70) (EC 3.1.3.16)","Os09g0558000 LOC_Os09g38550 OJ1065_E04.2-1 OJ1065_E04.2-2 OsJ_029126","Oryza sativa subsp. japonica (Rice)",362
"Q9UFH2","DYH17_HUMAN","Dynein heavy chain 17, axonemal (Axonemal beta dynein heavy chain 17) (Axonemal dynein heavy chain-like protein 1) (Ciliary dynein heavy chain 17) (Ciliary dynein heavy chain-like protein 1) (Dynein light chain 2, axonemal)","DNAH17 DNAHL1 DNEL2","Homo sapiens (Human)",4462
"Q56XY2","QQT1_ARATH","GPN-loop GTPase QQT1 (EC 3.6.5.-) (Protein EMBRYO DEFECTIVE 1705) (Protein QUATRE QUART 1)","QQT1 EMB1705 At5g22370 MWD9.17","Arabidopsis thaliana (Mouse-ear cress)",298
